585	NO AUTHOR GIVEN
85	Edward Packard
82	R.A. Montgomery
68	R.L. Stine
51	Joe Dever
44	Richard Brightfield
34	Ian Livingstone
29	Stephen Thraves
28	Dave Morris
26	Steve Jackson (United Kingdom)
24	R.G. Austin, Rita Golden Gelman, Nancy Lamb
19	Ryder Windham
19	Mark Smith, Jamie Thomson
18	Jay Leibold (Jay Montavon)
14	Tracey West
14	Shannon Gilligan
14	Rhondi Vilott-Salsitz
14	J.H. (Herbie) Brennan
13	Rose Estes
13	Jim Razzi
13	Alfred Leonardi, William (Billy) Tucci
12	Susan Saunders
12	Simon Farrell, Jon(athan) Sutherland
12	Louise Munro Foley
12	James M. Ward
11	Seth McEvoy
11	Fabrice Cayla, Jean-Pierre Pecau
11	Dave Wolverton
11	Christopher Black
11	Barbara Siegel, Scott Siegel
11	Alfred Leonardi, James Rosinus (development)
10	Morris Simon
10	Carol Gaskin
9	Hilary Milton
8	Martin Waddell
8	H. William Stine, Megan Stine
8	Gildas Sagot
8	Doug Wilhelm
7	Zybněk Dach
7	Roger E. Moore
7	Migou
7	Megan Stine, H. William Stine
7	Lynn Beach
7	Ken McMurtry
7	Keith Martin
7	Jon(athan) Sutherland
7	John Peel
7	George M. George [Джордж М. Джордж] (Georgi Mindizov [Георги Миндизов])
7	Dave Morris, Jamie Thomson
7	Allen Sharp
7	Alfred Leonardi, Mary Leonardi, Dennis Greci, William Fortin
7	Alfred Leonardi, Mary Leonardi, Dennis Greci
6	William Rotsler
6	Václav Kroc
6	Virgil Dreamond [Върджил Дриймънд] (Elena Pavlova [Елена Павлова])
6	Stephen Mooser
6	Rick Priestley
6	Richard Wenk
6	Mitch Gelman
6	Michael A. Stackpole
6	Kenneth D. Roseman
6	Ian Page, Joe Dever (editing)
6	Graeme Davis
6	Gerald Lientz
6	Anson Montgomery
6	Andrew Chapman
5	W.G. Armintrout
5	Terry Denton
5	Simon Geller (editing)
5	Ruth Glick, Eileen Buckholtz
5	Ramsey Montgomery
5	Patrick Burston
5	Oliver Johnson, Dave Morris
5	Matthew J. Costello
5	Marcia Leonard
5	Marc Gascoigne (editing)
5	Laban Carrick Hill
5	Karl Hiesterman, Alfred Leonardi
5	Jim Wallace
5	Héctor Campillo Cuautli
5	Eric Affabee (R.L. Stine)
5	Ellen Kushner
5	Deborah Lerme Goodman
5	Carolyn Keene, Franklin W. Dixon
5	Bruce Algozin
5	Alfred Leonardi, Dennis Greci (development)
4	William Sno
4	Susan E. Hilliard
4	S. Eric Meretsky
4	Robin Waterfield
4	Richard (Richie) Chevat
4	Peter Lerangis
4	Paul Mason, Steve Williams
4	Oliver Johnson
4	Nora Logan
4	Nigel Gross, Jon(athan) Sutherland
4	Milo Dennison
4	Michael Teitelbaum
4	Michael Mindcrime [Майкъл Майндкрайм] (Dimitar Slaveykov [Димитър Стойковски Дафовски])
4	Mary Danby
4	Luke Sharp
4	Linda Lowery
4	Laurie B. Clifford
4	Julius Goodman
4	Jonathan Green
4	Joe Dever, John Grant (Paul Barnett)
4	Jeanne Gowen Dennis, Sheila Seifert
4	Jean (F.) Blashfield
4	Gary Gygax, Flint Dille
4	E.T. Randall
4	Donna Fletcher Crow
4	Don Wulffson
4	David Tant
4	Craig Wessel
4	Clyde Bosco (Russell Ginns)
4	Bill Fawcett
4	Angela Harper
4	Allen Varney
4	Alfred Leonardi, Adamo Leoni, Dennis Greci
4	A.L. Singer (Peter Lerangis)
3	Troy Denning
3	Tony Koltz
3	Steve Jackson (United States)
3	Steve Jackson (United Kingdom), Ian Livingstone
3	Stefania Fabri
3	Seth McEvoy, Laure Smith
3	Sean-Robert Shaw
3	Scott Westerfeld
3	Sara Compton
3	Roy Wandelmaier
3	Robert Blond [Робърт Блонд] (Bogdan Russev [Богдан Русев])
3	Peter Darvill-Evans
3	Paul Siefken
3	Neil Randall
3	Nate Aaseng
3	Michael Gray
3	Merle M. Rasmussen
3	Lois McCoy, Floyd McCoy
3	Ken St. Andre
3	Judith Bauer Stamper
3	Josepha Sherman
3	John F. Antal
3	John Butterfield, David Honigmann, Philip Parker
3	Jim Gasperini
3	Jay Montavon
3	Jason Shiga.
3	Jan Gelman
3	James Campbell
3	James (Jim) Becket
3	Glenn (Arthur) Rahman
3	Dugald A. Steer
3	Doug Headline, Dominique Monrocq
3	David Brunskill
3	Collin Walumberry [Колин Уолъмбъри] (Lyubomir Nikolov [Любомир Николов])
3	Christopher Golden
3	Christine DeVault, Bryan Strong
3	Chris Martindale
3	Bill McCay
3	Arthur Byron Cover
3	Andrew Helfer
3	Andrea Angiolino
3	Allison Bottke, Heather Gemmen
3	Alfred Leonardi, Michael Vitale (character design), James Rosinus (development)
3	Alex Strang
3	Alan Robbins
3	Alan LaVergne
2	Vicki Grove
2	Uwe Anton
2	Ulrich Kaiser
2	Tihor Miklós, Mazán Zsolt
2	Terry Phillips
2	Steven Otfinoski
2	Stephen Leslie
2	Stephen Hand
2	Stephen A. Bly
2	Sim(eon) Nikolov [Сим(еон) Николов]
2	Shane Breaux
2	Seymour V. Reit
2	Seddon Johnson
2	Scott Haring
2	Sara Hughes
2	Sara Compton, Spencer Compton
2	Roy Cram
2	Ron Martinez
2	Robert Knight
2	Rick Loomis
2	R. Parker McVey
2	Pierre Rosenthal
2	Phillip Brinkerhoff, Ben Arcuri (editing)
2	Philippe Ebly
2	Peter Strupp
2	Peter David
2	Peggy Downing
2	Paul Vernon
2	Nicole Carr
2	Milt Creighton
2	Migou, Antoine Pinchot
2	Michael E. Thomson
2	Michael (Mike) Carr
2	Meg F. Schneider
2	Matt Wayne, Richard (Richie) Chevat
2	Matt Wayne
2	Mary L. Kirchoff
2	Marvin Miller
2	Mark Smith
2	Mark Acres
2	Margaret Davidson, Carson Davidson
2	Margaret (Baldwin) Weis
2	Marc Kornblatt
2	Marc Gascoigne, Pete Tamlyn
2	Marc Gascoigne, Jonathan Green
2	Marc Gascoigne
2	Madeleine Simon (Morris Simon)
2	M.A.R. Barker
2	M. Masters, Alexander von Wacker
2	M. Masters
2	Lynn Sonberg
2	Linda Joy Singleton
2	Lilla Zuckerman, Nora Zuckerman
2	Len Neufeld
2	Kevin Slaighter [Кевин Слейтър] (Kiril Slabov [Кирил Слабов])
2	Katherine Noll
2	Kate Novak(-Grubb)
2	Kate Mueller
2	Kate McMullan
2	K.A. Applegate
2	Joël Gourdon
2	Josephine Kains
2	John Peel. 1991. ISBN: 0307223027
2	John Kendall
2	Jody Lynn Nye
2	Jean-Luc Cambier, Doug Headline, Éric Verhoest
2	Jean Rabe
2	Jean M. Favors, Susan M. Zakar (programming)
2	Jean (F.) Blashfield, James M. Ward
2	Jason Shiga. 2010. ISBN: 0810984237
2	Jason Shiga
2	Jason Kingsley
2	Jasan P. Barnett
2	Jane O'Connor, Joyce Milton
2	Jamie Thomson
2	James Wallis
2	Jake MacKenzie
2	Jacques Denoyelle, Pascale Putegnat
2	J. Robert King
2	Ian Livingstone, Steve Jackson (United Kingdom), Tony Lacey, Philippa Dickinson
2	Ian Bailey, Clive Bailey
2	Heather (Moors) Johnson
2	Graham Staplehurst, Paul Mason (uncredited)
2	Gary Chalk, David Kerrigan
2	Frédéric Blayo
2	Fred D'Ignazio
2	François Lejoyeux, Pierre Lejoyeux
2	Francois Thiéry
2	Forrest Harris
2	Eric Pakulak
2	E.A.M. Jakab
2	Douglas Niles
2	Donald J. Sobol
2	Dominique Grandpierre
