id	box	folder	series	series_no	title	author	publisher	citation	book_id	series_id
01-01	01	1-7	Choose Your Own Adventure (1979-1998)		Cave of Time, The			Cave of Time, The. Author: Edward Packard. Publisher: Bantam, 1979. ISBN: 055312790X. Publisher series no: 30. Book ID: 518. 115 pages.	518	30
01-08	01	8-13	Choose Your Own Adventure (1979-1998)		Journey Under the Sea			Journey Under the Sea. Author: Robert Mountain (R.A. Montgomery). Publisher: Bantam, 1977. ISBN: 0553140035. Publisher series no: 30. Book ID: 163. 97 pages (British Adventures of You edition), 117 pages (original CYOA release).	163	30
01-14	01	14-15	Choose Your Own Adventure (1979-1998)		By Balloon to the Sahara			By Balloon to the Sahara. Author: Douglas Terman. Publisher: Bantam, 1979. ISBN: 0553127918. Publisher series no: 30. Book ID: 563. 117 pages.	563	30
01-16	01	16-19	Choose Your Own Adventure (1979-1998)		Space and Beyond			Space and Beyond. Author: R.A. Montgomery. Publisher: Bantam, 1980. ISBN: 0553140000. Publisher series no: 30. Book ID: 562. 117 pages.	562	30
01-20	01	20-23	Choose Your Own Adventure (1979-1998)		Mystery of Chimney Rock, The			Mystery of Chimney Rock, The. Author: Edward Packard. Publisher: Bantam, 1980. ISBN: 0553140019. Publisher series no: 30. Book ID: 561. 121 pages.	561	30
01-24	01	24-26	Choose Your Own Adventure (1979-1998)		Your Code Name is Jonah			Your Code Name is Jonah. Author: Edward Packard. Publisher: Bantam, 1980. ISBN: 0553140027. Publisher series no: 30. Book ID: 560. 114 pages.	560	30
01-27	01	27-28	Choose Your Own Adventure (1979-1998)		Third Planet from Altair, The			Third Planet from Altair, The. Author: Edward Packard. Publisher: Bantam, 1979. ISBN: 0397318278. Publisher series no: 30. Book ID: 332. (CYOA version).	332	30
01-29	01	29-30	Choose Your Own Adventure (1979-1998)		Deadwood City			Deadwood City. Author: Edward Packard. Publisher: Bantam, 1979. ISBN: 0397317832. Publisher series no: 30. Book ID: 333 pages (CYOA version).	333 pages (CYOA version)	30
01-31	01	31-34	Choose Your Own Adventure (1979-1998)		Who Killed Harlowe Thrombey			Who Killed Harlowe Thrombey? Author: Edward Packard. Publisher: Bantam, 1981. ISBN: 0553143573. Publisher series no: 30. Book ID: 516. 122 pages.	516	30
01-35	01	35-36	Choose Your Own Adventure (1979-1998)		Lost Jewels of Nabooti, The			Lost Jewels of Nabooti, The. Author: R.A. Montgomery. Publisher: Bantam, 1981. ISBN: 0553143581. Publisher series no: 30. Book ID: 556. 121 pages (original), 131 pages (reissue).	556	30
01-37	01	37-38	Choose Your Own Adventure (1979-1998)		Mystery of the Maya			Mystery of the Maya. Author: R.A. Montgomery. Publisher: Bantam, 1981. ISBN: 0553146009. Publisher series no: 30. Book ID: 555. 134 pages (original), 131 pages (reissue).	555	30
01-39	01	39-41	Choose Your Own Adventure (1979-1998)		Inside UFO 54-40			Inside UFO 54-40. Author: Edward Packard. Publisher: Bantam, 1982. ISBN: 0553201972. Publisher series no: 30. Book ID: 554. 118 pages.	554	30
01-42	01	42	Choose Your Own Adventure (1979-1998)		Abominable Snowman, The			Abominable Snowman, The. Author: R.A. Montgomery. Publisher: Bantam, 1982. ISBN: 0553205293. Publisher series no: 30. Book ID: 553. 116 pages.	553	30
01-43	01	43-44	Choose Your Own Adventure (1979-1998)		Forbidden Castle, The			Forbidden Castle, The. Author: Edward Packard. Publisher: Bantam, 1982. ISBN: 0553225154. Publisher series no: 30. Book ID: 520. 118 pages.	520	30
01-45	01	45-46	Choose Your Own Adventure (1979-1998)		House of Danger			House of Danger. Author: R.A. Montgomery. Publisher: Bantam, 1982. ISBN: 0553225413. Publisher series no: 30. Book ID: 546. 115 pages (original), 109 pages (reissue).	546	30
01-47	01	47	Choose Your Own Adventure (1979-1998)		Survival at Sea			Survival at Sea. Author: Edward Packard. Publisher: Bantam, 1982. ISBN: 0553227688. Publisher series no: 30. Book ID: 533. 118 pages.	533	30
01-48	01	48	Choose Your Own Adventure (1979-1998)		Race Forever, The			Race Forever, The. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 0553232908. Publisher series no: 30. Book ID: 552. 116 pages (original), 122 pages (reissue).	552	30
01-49	01	49	Choose Your Own Adventure (1979-1998)		Underground Kingdom			Underground Kingdom. Author: Edward Packard. Publisher: Bantam, 1983. ISBN: 0553232924. Publisher series no: 30. Book ID: 531. 108 pages.	531	30
01-50	01	50	Choose Your Own Adventure (1979-1998)		Secret of the Pyramids			Secret of the Pyramids. Author: Richard Brightfield. Publisher: Bantam, 1983. ISBN: 0553232959. Publisher series no: 30. Book ID: 551. 116 pages.	551	30
01-51	01	51	Choose Your Own Adventure (1979-1998)		Escape			Escape. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 0553232940. Publisher series no: 30. Book ID: 500. 118 pages (original), 125 pages (reissue).	500	30
01-52	01	52	Choose Your Own Adventure (1979-1998)		Hyperspace			Hyperspace. Author: Edward Packard. Publisher: Bantam, 1983. ISBN: 0553233246. Publisher series no: 30. Book ID: 532. 116 pages.	532	30
01-53	01	53-54	Choose Your Own Adventure (1979-1998)		Space Patrol			Space Patrol. Author: Julius Goodman. Publisher: Bantam, 1983. ISBN: 0553233491. Publisher series no: 30. Book ID: 550. 118 pages.	550	30
01-55	01	55	Choose Your Own Adventure (1979-1998)		Lost Tribe, The			Lost Tribe, The. Author: Louise Munro Foley. Publisher: Bantam, 1983. ISBN: 0553233661. Publisher series no: 30. Book ID: 549. 116 pages.	549	30
01-56	01	56	Choose Your Own Adventure (1979-1998)		Lost on the Amazon			Lost on the Amazon. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 0553237330. Publisher series no: 30. Book ID: 548. 114 pages.	548	30
01-57	01	57	Choose Your Own Adventure (1979-1998)		Prisoner of the Ant People			Prisoner of the Ant People. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 055323661X. Publisher series no: 30. Book ID: 535. 115 pages.	535	30
01-58	01	58	Choose Your Own Adventure (1979-1998)		Phantom Submarine, The			Phantom Submarine, The. Author: Richard Brightfield. Publisher: Bantam, 1983. ISBN: 0553236350. Publisher series no: 30. Book ID: 547. 111 pages.	547	30
01-59	01	59	Choose Your Own Adventure (1979-1998)		Horror of High Ridge, The			Horror of High Ridge, The. Author: Julius Goodman. Publisher: Bantam, 1983. ISBN: 0553238671. Publisher series no: 30. Book ID: 545. 116 pages.	545	30
01-60	01	60	Choose Your Own Adventure (1979-1998)		Mountain Survival			Mountain Survival. Author: Edward Packard. Publisher: Bantam, 1984. ISBN: 055323868X. Publisher series no: 30. Book ID: 544. 115 pages.	544	30
01-61	01	61-62	Choose Your Own Adventure (1979-1998)		Trouble on Planet Earth			Trouble on Planet Earth. Author: R.A. Montgomery. Publisher: Bantam, 1984. ISBN: 0553238655. Publisher series no: 30. Book ID: 543. 116 pages (original), 113 pages (reissue).	543	30
01-63	01	63-64	Choose Your Own Adventure (1979-1998)		Curse of Batterslea Hall, The			Curse of Batterslea Hall, The. Author: Richard Brightfield. Publisher: Bantam, 1984. ISBN: 0553239376. Publisher series no: 30. Book ID: 542. 118 pages.	542	30
01-65	01	65-66	Choose Your Own Adventure (1979-1998)		Vampire Express			Vampire Express. Author: Tony Koltz. Publisher: Bantam, 1984. ISBN: 0553240994. Publisher series no: 30. Book ID: 541. 118 pages.	541	30
02-01	02	01	Choose Your Own Adventure (1979-1998)		Vampire Express			Vampire Express. Author: Tony Koltz. Publisher: Bantam, 1984. ISBN: 0553240994. Publisher series no: 30. Book ID: 541. 118 pages.	541	30
02-02	02	02	Choose Your Own Adventure (1979-1998)		Treasure Diver			Treasure Diver. Author: Julius Goodman. Publisher: Bantam, 1984. ISBN: 0553240501. Publisher series no: 30. Book ID: 540. 114 pages (plus background information).	540	30
02-03	02	03	Choose Your Own Adventure (1979-1998)		Dragons' Den, The			Dragons' Den, The. Author: Richard Brightfield. Publisher: Bantam, 1984. ISBN: 0553242490. Publisher series no: 30. Book ID: 539. 116 pages.	539	30
02-04	02	04	Choose Your Own Adventure (1979-1998)		Mystery of the Highland Crest, The			Mystery of the Highland Crest, The. Author: Louise Munro Foley. Publisher: Bantam, 1984. ISBN: 0553243446. Publisher series no: 30. Book ID: 538. 117 pages.	538	30
