# ---
# group  : Katz
# id     : 
# gbid   : 
# series : CYOA
# title  : 
# author : 
# credit: 
#   - name : Sarah Cifranic
#     role : encoder
#     date : 2017-08-25
#   - name : Jeremy Douglass
#     role : editor
#     date : 2017-10-19
# render:
#   - name   : small
#     styles : gvStyles-small.txt
#     engine : dot
# comment: >
#     
# ---

1	2
2	3
3	43
5	51
	53
6	104
8	90
9	64
10	80
11	92
12	13
14	15
15	57
	98
16	46
	76
18	66
19	112
	50
21	67
	73
22	84
	70
24	47
26	96
27	111
30	21
31	103
	40
33	14
35	8
36	100
37	101
	105
39	86
	40
40	41
41	42
42	77
43	107
45	19
46	30
47	52
	31
50	5
51	28
52	4
53	110
55	37
56	88
57	6
58	18
59	60
60	61
61	22
62	63
63	83
64	85
66	97
67	24
69	23
70	95
72	9
73	38
76	62
77	45
78	32
80	74
	36
81	69
83	39
	72
85	71
88	108
89	56
90	27
92	48
93	106
95	81
96	55
97	59
98	26
101	12
103	10
104	16
105	89
106	11
107	35
108	93
110	78
	58
111	33
