# ---
# group  : Katz
# id     : 
# gbid   : 
# series : 
# title  : 
# author : 
# credit: 
#   - name : Kylie McGregor
#     role : encoder
#     date : 2017-08-24
#   - name : Jeremy Douglass
#     role : editor
#     date : 2017-10-19
# render:
#   - name   : small
#     styles : gvStyles-small.txt
#     engine : dot
# comment: >
#     
# ---

#From	To	Label	Comment

1	2
2	3
3	4
4	10
	54
5	40
6	7
7	115
8	9
9	78
	107
10	90
	32
11	30
12	13
13	6
	39
15	57
17	93
	101
18	45
	59
20	44
21	66
	104
23	115
24	25
25	92	
	68
26	70
27	98
	42
30	115
32	80
	61
33	87
34	35
35	69
36	115
37	115
40	99
	26
42	108	
	71
44	77
	100
45	115
46	11
	97
47	79
	110
48	49
49	36
	75
50	94
	56
51	115
52	53
53	14
	102
54	64
	21
55	115
57	112	
	96
59	115
60	115
61	62
62	5
	114
63	115
64	17
66	18
	34
67	28
	88
68	115
69	84
	48
70	109
	63
71	115
73	50
76	16
	37
77	51
	60
79	115
80	52
	8
81	115
83	15
84	85
85	115
87	115
88	55
	23
90	91
91	27
	83
93	24
	106
94	65
	12
97	115
98	81
101	20
	82
102	115
104	73
	22
106	67
	31
107	115
110	46
	38
112	47
114	76
	33
