# ---
# group  : Katz
# id     : 
# gbid   : 
# series : 
# title  : 
# author : 
# credit: 
#   - name : Kylie McGregor
#     role : encoder
#     date : 2017-08-24
#   - name : Jeremy Douglass
#     role : editor
#     date : 2017-10-19
# render:
#   - name   : small
#     styles : gvStyles-small.txt
#     engine : dot
# comment: >
#     
# ---

1	2
2	3
3	88
	16
4	95
	63
8	9
9	115
10	52
	96
12	89
13	6
	65
14	15
15	115
16	31
	48
17	115
18	93
	110
20	41
	91
21	115
22	85
23	103
24	29
25	70
28	34
	67
29	92
	17
30	107
	45
31	28
35	115
38	115
39	55
	58
40	5
41	101
42	43
43	115
44	106
45	115
46	60
47	112
	22
48	49
49	78
	25
51	115
52	26
	38
53	79
	84
54	80
	98
56	57
57	8
	82
58	13
	87
60	115
61	115
62	47
	4
63	115
64	46
	86
65	115
67	81
68	42	
	74
69	62
	40
70	71
71	12
	68
73	51
	61
76	77
77	115
78	30
	69
79	35
	102
80	104
	24
82	115
84	85
85	54
	10
88	53
	105
89	37
	76
91	36
92	56
	23
96	44
	59
97	20
	114
100	64
	83
101	115
103	27
	72
104	100
	108
105	39
	97
106	115
107	88
108	109
109	32
	21
110	11
	14
112	113
113	18
	90
114	73
	99
