# ---
# group  : Katz
# id     : 
# gbid   : 
# series : 
# title  : 
# author : 
# credit: 
#   - name : Kylie McGregor
#     role : encoder
#     date : 2017-09-08
#   - name : Jeremy Douglass
#     role : editor
#     date : 2017-10-19
# render:
#   - name   : small
#     styles : gvStyles-small.txt
#     engine : dot
# comment: >
#     
# ---

#From	To	Label	Comment

1	3
	2
2	9
	7
3	5
	4
4	11
5	10
	128
7	12
9	11
10	53
	16
11	14
	128
12	18
13	45
	78
14	17
15	20
16	74
17	23
18	19
19	25
	21
20	29	
	26
23	31
25	27
	30
26	28	
	35
27	37
	33
28	24
	117
29	126
30	21
	33
31	34	
	41
32	46
33	54
	39
34	36
	46
35	106
	40
36	46
	42
39	43
	49
40	87
41	64
	32
42	44
44	47
45	112
	62
46	48
47	50
	51
48	13
	55
49	65
50	52
51	52
52	73
	60	
53	72
	129
54	65
55	57
	69
56	68
	71
57	73
58	61
60	13
	8
61	66
	95
65	86
	108
66	67
67	38
	15
68	84
	106
70	80
	83
71	75
72	76
73	79
	111
74	93
	114
75	81
	110
76	82
79	70
80	90
81	133
82	89
	58
84	85
85	81
86	108
87	124
90	94
	118
93	76
94	101
95	56
	113
96	135
	98
97	102
	103
98	100
99	138
100	127
101	102
	97
102	104
	120
103	105
104	109
	116
108	91	
	125
110	113
111	115
114	119
115	122
116	111
	99
118	96
121	138
122	134
	136
127	130
128	131
	17
131	132
136	137
