1	2
2	3
3	4
4	5
5	6
6	7
7	63
	10
	22
8	9
9	99
10	11
11	47
	14
12	13
13	53
	107
14	72
	32
16	75
	24
17	18
19	20
21	47
22	36
	30
23	98
24	25
26	27
27	28
28	29
29	23
	66
30	31
31	17
	111
32	33
33	34
34	35
35	56
	92
36	37
37	38
38	85
	98
39	40
40	41
41	42
42	43
44	45
45	46
46	80
	12
	39
47	48
48	94
	56
50	16
	66
51	52
52	64
	81
53	54
54	55
56	57
57	58
58	59
59	60
60	61
61	62
63	44
	26
64	65
65	71
	88
66	67
67	68
68	82
	118
72	73
73	74
74	108
	106
75	76
76	77
77	78
78	79
80	39
	84
81	103
	8100
8100		81E
85	122	refer
	86
86	87
87	51
	101
88	89
89	90
90	91
91	103
	69
92	93
93	19
	114
94	95
95	96
96	97
98	99
99	100
100	50
	16
101	102
103	104
104	8
	117
106	32
107	83
	53
108	109
109	110
111	112
112	113
114	115
115	116
118	119
119	120
