0	50
	100
1	14
	65
2	74
	29
3	69
4	81
	96
5	13
	42
6	15
	25
	35
7	90
8	62
	47
9	12
	23
	31
10	60
11	188	refer
	30
	90
12	43
	32
13		E
14	186	refer
	45
	3
15	9
	22
16	186	refer
	35
	13
17	28		PRINT ERROR 17->17
	51
18	51
19	27
	48
	56
20	1
	65
21	90
22	38
	15
23	54
	66
	77
	85
	88
	9
24	4
	61
25	71
	6
26	34
27	63
	19
28	57
	17
29	1
	65
30	46
	90
31	9
32	77
	85
	66
	88
33	90
	11
34	186	refer
	13
	19
35	53
	6
36	64
37	13
	92
	52
	13
38	88
	9
	77
	85
88	38
9	38
77	38
85	38
39	17
	49
40	2
	90
41	90
42	90
43	9
44	70
45	24
	84
46	7
	21
47	13
	8
	62
48	19
49	64
	13
50	20
	40
	80
51	18
	36
52	188	refer
	102
	92
	76
53	188	refer
	35
54	9
55	3
56	17
57	39
	17
58	22
59	68
	99
	88
60	188	refer
	6
61	44
	4
62	26
63	8
	13
64	82
	76
	92
	52
65	3
66	9
67	188	refer
	88	return
68	78
	13
69	87
	13
	33
70	6
71	13
	25	return
72	13
	93
73	79
	86
	89
	97
	116
74	8
	47
	62
75	3
	41
76	92
	52
	37
	13
77	187	refer
	13
78	188	refer
	59
	88
79	104
	114
80	20
81	90
82	13
	64
83	13
	88
84	3
	186	refer
	13
	95
85	187	refer
	13
86	117
	105
87	5
	91
	101
88	59
	67
	83
	94
	103
	115
89	123
	111
90	70
	13
91	186	refer
	13
	42
92	98
	106
	112
	124
	118
	64
93	73
94	187	refer
	13
	88
95	55
	75
96	70
97	107
	113
	73
98	92
99	72
	59
	88
100	186	refer
	13
	10
101	13
	42
102	76
	92
103	187	refer
	13
	88
104	108
	119
105	86
	73
106	13
	92
107	73
108	187	refer
	13
	120
109	73
110	73
111	74
	6
	125
112	92
113	187	refer
	110
	121
114	122
	73
115	188	refer
	88
116	73
	126
117	130
	143
118	109
119	13
	104
120	127
121	128
	142
122	104
	73
123	73
	125
124	13
125	135
	142
126	13
127	13
	144
128	73
129	132
	138
	141
130	145
	155
131	142
	73
132	13
133	140
	136
	152
	154
	146
	148
	150
134	156
	13
135	73
136	157	no combat
	187	refer
	13
	157	combat
137	151
	133
138	133
139	13
140	149
	133
141	138
	13
142	79
143	69
144	13
	129
145	187	refer
	13
	131
146	153
	133
147	13
148	133
	137
149	187	refer
	133
	13
150	133
151	133
152	139
	133
153	13
154	134
	147
155	73
156	136		"he is always free to make another choice", breaks 4th wall "try 136"
157	187	refer
	13
	158
158		E

